timestamp_ms,x_mm,y_mm,z_mm,yaw_rad
1762860623338,139.201,1906.69,-100.608,0.463423
1762860623369,155.731,1866.28,-97.652,0.58618
1762860623402,171.679,1845.28,-95.6904,0.680098
1762860623434,198.329,1956.95,-100.55,0.720397
1762860623466,198.329,1956.95,-100.55,0.720397
1762860623500,232.431,2004.12,-99.8931,0.885816
1762860623527,232.431,2004.12,-99.8931,0.885816
1762860623560,232.431,2004.12,-99.8931,0.885816
1762860623600,232.431,2004.12,-99.8931,0.885816
1762860623732,-117.596,1819.26,-101.198,-0.61215
1762860623765,-99.2031,1819.63,-101.599,-0.52182
1762860623801,-76.6443,1795.46,-100.248,0.397667
1762860623837,-58.6215,1836.34,-102.648,-0.327166
1762860623873,-36.522,1805.86,-101.327,-0.295793
1762860623909,-14.9762,1854.6,-103.48,0.0269362
1762860623943,8.10521,1854.32,-103.503,0.0508796
1762860623979,30.3754,1829.46,-102.045,0.106437
1762860624013,53.1715,1823.21,-101.126,0.235549
1762860624047,74.8956,1802.56,-99.0443,0.314957
1762860624076,96.2365,1818.93,-99.437,0.374349
1762860624106,109.829,1697.93,-90.7015,0.551424
1762860624139,135.054,1800.64,-97.6278,0.543142
1762860624174,155.813,1828.21,-97.4236,0.608865
1762860624203,178.586,1887.29,-99.2971,0.655197
1762860624231,194.071,1885.88,-98.0828,0.753522
1762860624261,223.069,2022.65,-104.376,0.798873
1762860624293,236.096,2018.12,-101.893,0.895602
1762860624320,236.096,2018.12,-101.893,0.895602
1762860624353,236.096,2018.12,-101.893,0.895602
1762860624392,236.096,2018.12,-101.893,0.895602
1762860624459,-152.842,1898.08,-105.124,-0.731215
1762860624491,-135.065,1882.29,-104.451,-0.647037
1762860624524,-115.631,1868.1,-104.368,-0.564529
1762860624555,-96.5095,1872.52,-105.001,-0.474213
1762860624588,-77.2033,1898.38,-106.87,-0.36359
1762860624627,-55.1836,1890.07,-106.461,-0.287122
1762860624661,-31.9852,1863.73,-104.619,-0.211065
1762860624698,-9.6681,1847.24,-103.637,-0.11201
1762860624731,13.7938,1859.24,-104.006,0.0715455
1762860624767,36.3707,1828.05,-102.388,0.189643
1762860624801,57.5058,1786.51,-99.5613,0.303413
1762860624836,78.7758,1781.61,-99.027,0.366311
1762860624871,99.3562,1776.35,-98.2444,0.429936
1762860624905,116.393,1735.73,-94.5434,0.540187
1762860624934,141.818,1826.02,-98.6925,0.530548
1762860624963,161.507,1844.02,-99.1768,0.617338
1762860624991,176.841,1825.2,-97.0166,0.717264
1762860625021,198.369,1886.27,-98.3935,0.77197
1762860625052,198.369,1886.27,-98.3935,0.77197
1762860625079,198.369,1886.27,-98.3935,0.77197
1762860625112,198.369,1886.27,-98.3935,0.77197
1762860625282,-134.886,1924.66,-105.189,-0.618505
1762860625316,-112.401,1876.7,-103.1,-0.54733
1762860625347,-87.8926,1769.75,-97.055,-0.535871
1762860625381,-70.023,1830.46,-100.884,-0.431521
1762860625418,-48.6982,1855.98,-101.718,-0.31407
1762860625453,-26.7869,1858.7,-102.174,-0.240212
1762860625487,-3.61987,1854.15,-101.895,-0.0889549
1762860625523,19.7365,1871.91,-102.849,0.0428626
1762860625558,42.8756,1867.37,-102.204,0.133066
1762860625591,65.1005,1842.65,-100.02,0.232891
1762860625623,87.2174,1840.56,-99.3778,0.339635
1762860625659,110.623,1871.78,-100.163,0.38737
1762860625692,130.4,1857.3,-98.3362,0.483591
1762860625725,148.666,1844.63,-97.2125,0.578281
1762860625759
